,ID,title,ques,ans
0,15,الشراء عن طريق البنوك الربوية حرام,ما حكم شراء السيارة بالأقساط المريحة من بنك ربوي وتعامله مثل تعامل البنوك الإسلامية.. علما أن تعامل هذه البنوك الربوية يفوق احتراما تعامل البنوك الإسلامية؟ ولكم مني كل جزيل الشكر والاحترام.,"الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه أما بعد:
فأساس عمل البنوك الربوية قائم على تعاطي الربا المحرم إقراضا وقرضا، ولا تمارس - فيما نعلم - البيع بالتقسيط المنضبط بالضوابط الشرعية، التي من أهمها:
أ - أن يكون البنك مالكا للسيارة ملكا حقيقيا قبل بيعها للعميل.
ب - أن يبيع البنك السيارة للعميل بثمن محدد عند العقد، ولو كان ذلك الثمن أكثر من قيمتها السوقية.
ج – أن لا يترتب على التأخر في دفع قسط أو أقساط إضافةُ فوائد على المبلغ الذي أبرم العقد عليه.
وإذا كان البنك لا يشتري السيارة شراء حقيقياً، وإنما يدفع ثمنها نيابة عن العميل، ثم يسترد منه ذلك الثمن مقسطاً مضافا إليه الأرباح، فإن هذا لا يجوز، لأن حقيقة هذه المعاملة أن البنك أقرض العميل ثمن السيارة على أن يرده إليه بزيادة، وهذا عين القرض الربوي المحرم تحريما غليظا. وهذا النوع من التعامل هو السائد في معاملات البنوك الربوية.
وعليه فالأصل أنه لا يجوز التعامل مع البنوك الربوية، لأن التعامل معها إما أن يكون في معاملة ربوية، فهذا لا يجوز قطعا، وقد توعد الله أطراف الربا أشد وعيد، حيث قال: {يَاأَيُّهَا الَّذِينَ آمَنُوا اتَّقُوا اللَّهَ وَذَرُوا مَا بَقِيَ مِنَ الرِّبَا إِنْ كُنْتُمْ مُؤْمِنِينَ * فَإِنْ لَمْ تَفْعَلُوا فَأْذَنُوا بِحَرْبٍ مِنَ اللَّهِ وَرَسُولِهِ وَإِنْ تُبْتُمْ فَلَكُمْ رُءُوسُ أَمْوَالِكُمْ لَا تَظْلِمُونَ وَلَا تُظْلَمُونَ} [البقرة: 278 - 280] وفي صحيح مسلم عَنْ جَابِرٍ – رضي الله عنه -، قَالَ: «لَعَنَ رَسُولُ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ آكِلَ الرِّبَا، وَمُؤْكِلَهُ، وَكَاتِبَهُ، وَشَاهِدَيْهِ»، وَقَالَ: «هُمْ سَوَاءٌ» ومؤكل الربا هو المتعامل مع المرابي في معاملة ربوية.
وإما أن يكون التعامل مع البنك الربوي في معاملة مشروعة منضبطة بالضوابط الشرعية، فهذا فيه نوع من العون للبنك على الاستمرار في عمله المحرم، والله تعالى يقول: {وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَى وَلَا تَعَاوَنُوا عَلَى الْإِثْمِ وَالْعُدْوَانِ وَاتَّقُوا اللَّهَ إِنَّ اللَّهَ شَدِيدُ الْعِقَابِ} [المائدة: 2]
فمن يجد بنكا إسلاميا يمكنه التعامل معه وتندفع به حاجته فليس له التعامل مع البنوك الربوية ولو كانت المعاملة مشروعة في ذاتها. جاء في قرار مجمع الفقه الإسلامي: ... ويحرم التعامل مع البنوك الربوية في جميع المعاملات المحظورة شرعًا. ويتعين على المسلم التعامل مع المصارف الإسلامية إن أمكن ذلك؛ توقيًا من الوقوع في الحرام أو الإعانة عليه. ثالثا- يحرم على كل مسلم يتيسر له التعامل مع مصرف إسلامي أن يتعامل مع المصارف الربوية في الداخل أو الخارج، إذ لا عذر له في التعامل معها مع وجود البديل الإسلامي، ويجب عليه أن يستعيض عن الخبيث بالطيب، ويستغني بالحلال عن الحرام. انتهى.
أما من لم يجد بنكا إسلاميا، فله أن يتعامل مع البنك الربوي، وعليه أن يحرص في هذه الحالة أن يكون التعامل موافقا لأحكام الشريعة الإسلامية.
والمؤمن إذ يسمع الوعيد الشديد والتنفير البالغ من الربا ومن المرابين في نصوص الشريعة المتضافرة، فلا يليق به أن يغريه ما يُقدِّمه البنك الربوي من تسهيلات وإغراءات خداعة.  
والله أعلم ."
1,32,لابد من حصر الورثة لتتم قسمة التركة بصورة شرعية,امرأة توفيت ولها مبلغ من المال ، ولها زوج طاعن في السن ، ولها أيضاً أولاد. فكيف يتم توزيع المبلغ .. أم أن الزوج أحق بهذا المال ؟,"الحمد لله والصلاة والسلام على رسول الله وآله وصحبه أما بعد:
فليس الزوج أحق بهذا المال، بل يجب أن يقسم مع تركتها كما أمر الله جل وعلا وبين رسوله صلى الله عليه وسلم، وحيث توفيت المرأة وتركت زوجا وأولادا فتوزع التركة بينهم للزوج الربع فرضا والباقي للأولاد تعصيبا للذكر مثل حظ الأنثيين، والأولى أن تراجع في ذلك المحكمة الشرعية في بلده إذا وجدت لإعلان الوراثة فربما يكون ثم وارث لم يذكره السائل أو لا يعلم أنه يرث. وبالله التوفيق."
2,31,لا ينبغي للموظف أن يخالف الشرع ليحصل على إجازة,ما حكم الإجازات المرضية فى حالة مرض أولادي ؟,"الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه أما بعد:

فالإجازة المرضية -فيما نعلم- تحتاج إلى تقرير طبي يثبت مرض الموظف، وهي موضوعة للرفق بالموظف نفسه لا بأولاده، وحصولك عليها عند مرض أولادك لا يتم إلا بنوع من الكذب والتزوير، ولا شك في حرمة ذلك، والذي ينبغي فعله عند مرض الأولاد أو غيرهم من الأبوين والإخوان والأقارب والجيران الذين يحتاجون لمن يخدمهم في حال المرض - هو شرح تلك الظروف للجهة المسؤولة عنك في العمل، وإعطاؤها الصورة كاملة كما هي بدون زيادة ولا نقص، والغالب على الظن أنها ستتجاوب مع ما يمليه الحال القائم، مما يتيح لك فرصة القيام بواجبك تجاه المريض ويجنبك الحرج والكذب، فإن لم تتجاوب معك فأطلب منها إجازة عادية أو اضطرارية فإن لم يتات شيء من ذلك وكانت حاجة المريض إليك شديدة، وحاجتك أنت إلى العمل ضرورية أو قريبة من ذلك فلك اللجوء - حينئذ - إلى الإجازة المذكورة حتى ترتفع حالة الضرر.
والله أعلم"
3,36,أحكام سجود السهو,ما هو سجود السهو ، كيفيته، ووقته؟ وما حكم من شك في صلاته ( هل قال: سبحان ربي العظيم أم لا ؟ ) أوهل سجد أم لا ؟ مايفعل هل يسجد للسهو ام لا ؟,"الحمد لله والصلاة والسلام على رسول الله وآله وصحبه أما بعد:

فإن سجود السهو سجدتان يسجدهما المصلي، إذا زاد في صلاته أو نقص منها أو شك في شيء منها أو سلم قبل تمامها ساهياً أو ظاناً تمامها. فإن شك الإمام أو المنفرد في الصلاة الرباعية - مثلا- هل صلى ثلاثا أم أربعا، فإن الواجب عليه أن يبني على اليقين وهو اعتبار الأقل، أو يتحرى عدد الركعات التي صلاهـا، ثم يسجد للسهو؛ لحديث أبي سعيد الخدري قال: قال رسول الله صلى الله عليه وسلم: ""إذا شك أحدكم في صلاته فلم يدر كم صلى ثلاثاً أم أربعاً فليطرح الشك وليبن على ما استيقن، ثم يسجد سجدتين قبل أن يسلم "" رواه مسلم ولحديث: ""إذا شك أحدكم فليتحر الصواب فليتم عليه"". رواه البخاري ومسلم. وإن شك في فعل ركن أو تركه –مثل قراءة الفاتحة- فتذكره قبل الشروع في ركن آخر فإنه يأتي به ولا شيء عليه، وإن تذكره بعد شروعه في ركن آخر وقبل انقضاء الركعة التي فيها هذا الركن، فإنه يرجع إليه ويأتي به وبما بعده ويسجد، وإن تذكره بعد انقضاء الركعة كأن يكون المتروك أو المشكوك فيه في الركعة الأولى، ولم يتذكره إلا في الثانية أو الثالثة فإنه يعتبر الثانية أولى وهكذا لأن الركعة التي ترك منها الركن بطلت، ويسجد للسهو. وإن شك في واجب من واجبات الصلاة هل فعله أم لا، أو تركه سهوا، فإن تذكره في محله، أتى به ولا شيء عليه، وإن تذكره بعد تركه لمحله فإنه لا يرجع إليه وإن كان في الركعة نفسها، ويسجد للسهو. وأما إن سلم قبل تمامها -بأن سلم من ثلاث في رباعية مثلا- ثم نبه أو تذكر ما لم يطل الفصل، فإنه يقوم بدون تكبير، بنية الصلاة، ثم يأتي بالرابعة ثم يجلس للتشهد ثم يسجد سجدتي سهو، لفعل النبي صلى الله عليه وسلم كما في حديث ذي اليدين. رواه البخاري ومسلم، وأما محله: فقد اختلف فيه الفقهاء، فمنهم من قال: يكون بعد السلام ومنهم من قال: يكون قبله ومنهم من قال: يكون قبل السلام إذا سجد من نقصان وبعد السلام إن كان من زيادة، ومنهم من قال: إن محله قبل السلام إلا في ثلاثة مواضع: إذا سلم قبل تمامها، وإذا كان متحريا، وإذا نسي سجود السهو الواجب قبل السلام ، حيث إن الأحاديث التي وردت في سجود النبي صلى الله عليه وسلم دلت على ذلك . وإن سجد بعد السلام فإنه يتشهد له ثم يسلم، لأنه في حكم المستقل بنفسه، واختار شيخ الإسلام رحمه الله أنه ليس لسجود السهو بعد السلام تشهد، حيث إن الأحاديث الصحيحة على خلاف ذلك، وعلى هذا فمن شك في صلاته ، هل قال في الركوع منها .( سبحان ربي العظيم ) أم لا ؟ لزمه سجود السهو ، وله أن يفعله قبل السلام أو بعده والأفضل أن يكون قبل السلام لأنه نقص من الصلاة ، ولأن قول ( سبحان ربي العظيم ) يجب مرة واحدة في الركوع ، والزيادة على ذلك سنة لا يجب بتركها سجود للسهو ، وهذا مذهب الإمام أحمد وجماعة من العلماء . ، لما رواه سعيد بن منصور ، وأحمد ، وأبو داود ، وابن ماجه وابن حبان ، و الحاكم و صححه ، وابن مردويه ، والبيهقي في سننه عن عقبه بن عامر الجهني - رضى الله عنه - قال : لما نزلت على رسول الله صلى الله عليه وسلم ( فسبح باسم ربك العظيم ) قال ""اجعلوها في ركوعكم "" وعند ابن مردويه عن أبي هريرة قال : قالوا يا رسول الله كيف نقول في ركوعنا ؟ فأنزل الله الآية التي في آخر سورة الواقعة ( فسبح باسم ربك العظيم ) فأمرنا أن نقول ( سبحان ربي العظيم ) وتراً . أورده السيوطي في الدر المنثور. وروى حذيفة أنه سمع رسول صلى الله عليه وسلم يقول إذا ركع ( سبحان ربي العظيم ثلاث مرات ) رواه الأثرم ، وأبو داود ولم يقل ثلاث مرات. ويجزئ تسبيحة واحدة لأن النبي صلى الله عليه وسلم أمر بالتسبيح في حديث عقبة ولم يذكر عدداً ، فدل على أنه يجزئ أدناه وهو تسبيحة واحدة ، أما أدنى الكمال فثلاث ، لحديث حذيفة المتقدم ، ورواية في حديث ابن مسعود بلفظ ( وذلك أدناه ) المغني ( 1/542) بتصرف . ومن الأدلة أيضا على وجوب التسبيح مرة واحدة في الركوع ما رواه مسلم عن ابن عباس _ رضي الله عنهما قال : قال رسول صلى الله عليه وسلم "" فأما الركوع فعظموا فيه الرب "" والتعظيم يصدق بواحدة . وذهب الجمهور إلى أن قول سبحان ربي العظيم في الركوع سنة . قال الإمام النووي عند حديث ابن عباس السابق : ( واعلم أن الذكر في الركوع سنة عندنا وعند جماهير العلماء ، فلو تركه عمداً أو سهواً لا تبطل صلاته ، ولا يأثم ولا يسجد للسهو. وذهب الإمام أحمد بن حنبل وجماعة إلى أنه واجب ، فينبغي للمصلي المحافظة عليه للأحاديث الصريحة الصحيحة في الأمر به ، كحديث: ( أما الركوع فعظموا فيه الرب ) وغيره مما سبق ، وليخرج عن خلاف العلماء رحمهم الله ، والله أعلم ) انتهى من كتاب الأذكار للنووي . وأما السجود فهو ركن لا يجبر تركه سجود السهو. وقد سبق التفصيل بشأن أركان الصلاة . والله أعلم."
4,30,إذا أرضعت الأخت أخاها صار ابناً لها,هل يمكن للأخت أن ترضع أخاها، في حال مرض الأم؟ مع إعطاء الدليل الشرعي لطفا؟,"الحمد لله والصلاة والسلام على رسول الله وآله وصحبه أما بعد:
نعم يمكن للأخت أن ترضع أخاها ولو لم تكن الأم مريضة ويترتب على رضاعها لأخيها ما يترتب عليه من الاحكام ، فقد صار ابناً لها وابنا لزوجها الذي نشأ اللبن عن وطئه، فلا يمكن أن يتزوج ابنة هذا الرجل ولو كانت من غير أخته التي أرضعته، ولا يتزوج أخت هذا الرجل ولا خالته ولا عمته لأنه صار أباه. أما الدليل فهو قول الله جل وعلا: حرمت عليكم أمهاتكم وبناتكم  الآيه [النساء: 23]. وقول النبي صلى الله عليه وسلم : يحرم من الرضاع ما يحرم من النسب . [ أخرجه البخاري وغيره ]. والله أعلم."
5,41,لا يجوز تملك فوائد البنك بل تصرف في وجوه الخير بنية التخلص منها,هل يجوز أخذ الفوائد من البنوك أم نتركها للبنك,الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه وسلم ..... وبعد:             إذا دعت الضرورة إلى التحويل عن طريق البنوك الربوية، فلا حرج في ذلك إن شاء الله، لقوله تعالى: (وقد فصل لكم ما حرم عليكم إلا ما اضطرتم إليه). الأنعام:119.       ولا شك أن التحويل عن طريقها من الضرورات العامة في هذا العصر، وهكذا الإيداع فيها للضرورة بدون اشتراط فائدة، فإن دفعت إليك الفائدة من دون اشتراط ولا اتفاق فلا بأس بأخذها لصرفها في المشاريع الخيرية كمساعدة الفقراء والغرماء ونحو ذلك. لا لتتملكها أو تنتفع بها، بل هي في حكم المال الذي يضر تركه بالمسلمين مع كونه من مكسب غير جائز، فصرفه فيما ينفع المسلمين أولى من تركه لمن يستعينون به على ما حرم الله.       وإن أمكنه الإيداع والتحويل عن طريق بنوك إسلامية أو طرق مباحة أخرى، لم يجز الإيداع في البنوك الربوية لزوال الضرورة والله أعلم
6,39,إذا صادف عرفة يوم الجمعة فحكمه كسائر الأيام,سمعت بأن الحجة هذه السنه تعادل 7 حجات، وذلك لأنها تصادف يوم الجمعة. فهل هذا صحيح؟,"الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه، أما بعد:
فلم يثبت حديث صحيح، أو قول معتمد بأن يوم عرفة إذا وافق يوم جمعة تكون الحجة فيه تعدل سبع حجج. لكن لا شك أن اجتماع عرفة والجمعة في يوم واحد يزيد في شرف ذلك اليوم، فإن يوم عرفة يوم عظيم ترجى فيه الإجابة، ويوم الجمعة كذلك، وفيه ساعة يرجى إجابة الدعاء فيها، كما هو معلوم.
ثم إن اجتماع أسباب القبول الزمانية والمكانية مما شرع طلبه وتحريه، فالدعاء مستقبل القبلة وعلى طهارة وفي مكان وزمان فاضلين أرجى مما تتخلف فيه بعض تلك الأسباب....وهكذا. ومن هنا نقول: إن تحري مثل ذلك اليوم مطلوب، لكن تحديد نوع الفضل والمضاعفة لا يقال فيه إلا بتوقيف وخبر صحيح، وهذا غير معلوم لنا.
والله أعلم."
7,18,اقض الصيام أولاً ثم صم ستاً من شوال,بقي علينا من صيام رمضان يوم واحد وأرغب في صيام الستة من شوال فهل يجوز صيامها قبل القضاء مع جزيل الشكر ؟,"الحمد لله والصلاة والسلام على رسول الله
إذا كان المراد : أنك بقي عليك يوم من قضاء رمضان وترغب في صيام ست من شوال فهل تبدأ بقضاء اليوم أم بصيام الست؟ فالجواب هو أن الثواب المترتب إنما يكون لمن صام جميع رمضان، ومن بقي عليه يوم لا يعد صائما للجميع كما هو ظاهر الحديث:"" من صام رمضان ثم أتبعه ستا من شوال كان كصيام الدهر"" .[ رواه مسلم]. وعلى هذا فابدأ بقضاء اليوم ثم بعد ذلك صم الست... والله أعلم"
8,42,المرأة المسلمة مأمورة بالنقاب الذي يغطي الوجه كله,ما حكم النقاب فى الإسلام ، وما الأدلة الدالة على ذلك ؟ وجزاكم الله خيرا,"الحمد لله والصلاة والسلام على رسول الله وآله وصحبه أما بعد: 
فالنقاب الذي يغطي الوجه كله -ما سوى العينين- مأمورة به المرأة، حيث قال صلى الله عليه وسلم: لا تنتقب المرأة المحرمة ولا تلبس القفازين . [رواه البخاري] ، فدل ذلك على أن غير المحرمة تنتقب وتلبس القفازين، ذلك لأن وجه المرأة يجمع محاسنها، وهو أشد مواضع المرأة فتنة، وأجمع الفقهاء على وجوب تغطيته زمن الفتنة.
وقد أمر الله جل وعلا بستر الوجه، قال تعالى: وليضربن بخمرهن على جيوبهن [ النور:31] ، فأمرها أن ترخي الخمار من الرأس إلى الجيب: الذي هو فتحة الصدر، وإذا تدلى من الرأس ستر الوجه والجيب. ولما سئل ابن عباس  رضي الله عنهما عن قوله تعالى: يدنين عليهن من جلابيبهن  [ الأحزاب: 59]، غطى وجهه وأبدى عينا واحدة، فهذا يدل على أن المراد بالآية تغطية الوجه.
والله أعلم."
9,47,هل تجزئ ركعتا الفجر عن تحية المسجد,الحمد لله وكفى والصلاة والسلام على النبي المصطفى. السلام عليكم ورحمة الله وبركاته. شيخي الفاضل: بعد تأدية صلاة سنة الفجر في البيت ثم الذهاب إلى المسجد قصد صلاة الفجر فيه هل يجوز لي أن أصلي ركعتي تحية المسجد أم لا؟,"الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه أما بعد:
فإنه يسن لمن دخل المسجد ألا يجلس حتى يصلي ركعتين قبل جلوسه، سواء كان قد صلى راتبة هذه الصلاة في البيت قبل مجيئه إلى المسجد أم لا. لما روى أبو قتادة قال قال رسول الله صلى الله عليه وسلم :""إذا دخل أحدكم المسجد فلا يجلس حتى يصلي ركعتين"" متفق عليه. فإذا جلس قبل الصلاة سن له أن يقوم فيصلي ركعتين ، لما روى جابر قال: جاء سليك الغطفاني ورسول الله صلى الله عليه وسلم يخطب فجلس فقال: ""يا سليك، قم فاركع ركعتين وتجوز فيهما. رواه مسلم. فإذا دخل المسجد وصلى السنة الراتبة أجزأته عن تحية المسجد، وإن كان قد صلاها، كانت هاتان الركعتان تحية المسجد، لأن المقصود أن يصلي ركعتين قبل أن يجلس . والله أعلم."
